latitude,longitude,descr_athmo,descr_lum,descr_etat_surf,descr_dispo_secu,descr_grav
49.1667,2.68333,3.0,4.0,7.0,14.0,1
49.3833,2.58333,5.0,4.0,6.0,14.0,1
42.55,1.83333,2.0,4.0,6.0,14.0,1
46.8667,-1.1,3.0,4.0,7.0,14.0,1
46.5833,-1.51667,3.0,3.0,7.0,14.0,1
46.6667,-1.43333,3.0,4.0,7.0,14.0,1
46.6667,-1.43333,3.0,4.0,7.0,14.0,1
46.6167,-1.25,3.0,4.0,7.0,14.0,1
46.7833,-2.06667,3.0,3.0,7.0,14.0,1
46.7833,-2.06667,3.0,3.0,7.0,14.0,1
48.4667,7.71667,1.0,4.0,7.0,14.0,1
48.4667,7.71667,1.0,4.0,7.0,14.0,1
44.3833,0.316667,5.0,4.0,6.0,14.0,1
44.5,1.13333,3.0,4.0,7.0,14.0,1
44.5,1.13333,3.0,4.0,7.0,14.0,1
48.0667,-0.933333,8.0,4.0,7.0,14.0,1
48.0667,-0.633333,3.0,4.0,7.0,14.0,1
46.9833,5.61667,1.0,4.0,7.0,14.0,1
47.15,5.63333,3.0,4.0,7.0,14.0,1
47.1,5.5,3.0,3.0,7.0,14.0,1
47.7333,3.4,3.0,4.0,7.0,14.0,1
47.7333,3.4,3.0,4.0,7.0,8.0,1
43.1333,-0.466667,3.0,3.0,7.0,14.0,1
43.35,-1.55,4.0,4.0,6.0,14.0,1
44.5,0.166667,3.0,4.0,7.0,14.0,1
43.9333,2.85,3.0,4.0,7.0,14.0,1
44.4,2.03333,6.0,4.0,2.0,14.0,1
50.7,3.16667,6.0,4.0,7.0,7.0,1
50.7,2.83333,3.0,4.0,7.0,14.0,1
50.7,3.21667,3.0,1.0,7.0,7.0,1
50.6667,3.15,3.0,4.0,7.0,7.0,1
43.3583,-1.775,4.0,4.0,6.0,14.0,1
46.6833,-0.25,3.0,4.0,7.0,14.0,1
46.6833,-0.25,3.0,4.0,7.0,14.0,1
48.5167,0.533333,5.0,0.0,6.0,14.0,1
45.1167,5.7,3.0,3.0,7.0,14.0,1
45.6333,5.15,3.0,3.0,7.0,14.0,1
44.9667,5.7,4.0,3.0,6.0,14.0,1
47.3333,-0.183333,3.0,3.0,7.0,14.0,1
42.9923,-0.0730556,3.0,4.0,7.0,14.0,1
43.5312,0.844722,1.0,4.0,6.0,14.0,1
44.0667,2.98333,3.0,4.0,7.0,14.0,1
44.3667,0.15,3.0,3.0,7.0,14.0,1
44.2333,0.683333,5.0,4.0,6.0,14.0,1
44.2333,0.683333,5.0,4.0,6.0,14.0,1
44.2333,0.683333,5.0,4.0,6.0,14.0,1
45.6333,5.9,3.0,4.0,7.0,14.0,1
45.2667,6.33333,7.0,4.0,7.0,14.0,1
45.2464,6.30251,2.0,4.0,8.0,14.0,1
45.7,5.83333,3.0,4.0,7.0,14.0,1
45.7167,5.95,3.0,4.0,7.0,14.0,1
45.7167,-0.583333,3.0,3.0,7.0,14.0,1
